"Faculty ID","First Name","Last Name",UID,Type,Title,"Journal Title","Month / Season",Year,"Issue Number / Edition",Volume,"Page Number(s) or Number of Pages","Publisher City and State",URL,Publisher,Status,"Series Title","Publisher Country",ISSN,DOI,Term,Year,Description,Authors,"Scholarly Type","Intellectual Contributions:  Review Type","Scholarly Contributions and Creative Productions Type","Contribution Level","Publication Impact Factor","Author Order Number","Number of Co-Authors","Creative Writing","Student/Trainee Author Name(s)","Publication Accompanying Comments",Annotations
101009288,Vijaykumar,Panchang,400423,"Journal Article","Performance assessment of a Persian Gulf wind and wave forecasting system","J. Operational Oceanography ",,2022,,,,,,"Institute of Marine Engineering, Science & Technology (published by Taylor & Francis)",Accepted,,UK,,10.1080/1755876X.2021.2024949,Spring,2024,,"B S Sandeepan (Role:Author); Sashikant Nayak (Role:Author); Vijaykumar G Panchang",,,,,,,,,,,
101009288,Vijaykumar,Panchang,400427,"Journal Article","Ensemble Risk Inferences for Compound Wave Extremes in the Gulf of Mexico.","J. Offshore Mechanics & Arctic Engg ",,,,,,,,"American Society of Mechanical Engineers",Submitted,,,,,Spring,2024,,"Yurui Fan (Role:Author); Jemerson James (Role:Author); Vijay G Panchang (Role:Author)",,,,,,,,,,,
101009288,Vijaykumar,Panchang,400425,"Journal Article","Investigation of wave height distributions and characteristic wave periods in coastal environments","Journal of Geophysical Research - Oceans",,2021,,,,,,"American Geophysical Union","Revise & Resubmit",,,,,Spring,2024,,"Vijaykumar G Panchang",,,,,,,,,,,
101009310,Winfried,Teizer,460060,"Journal Article","<span style=""font-size:12pt;"">Dual-functional superhydrophobic coatings on biodegradable Mg alloys by nano-SiO<sub>2</sub> assisted surface modification</span>","Journal of Surface & Coatings Technology",,2024,,,,,,,Completed/Published,,,,,Spring,2024,,"Jaehyoung Son Jaehyoung Son (Role:Author); Jun Kyun Oh Jun Kyun Oh (Role:Author); Changkyu Kim Changkyu Kim (Role:Author); Dae-Hyun Cho Dae-Hyun Cho (Role:Author); Seul Gi Cho Seul Gi Cho (Role:Author); Homero Castaneda-Lopez (Role:Author); Mustafa Akbulut (Role:Author); Winfried Teizer (Role:Author)",,,,Senior,,,,,,,
101009310,Winfried,Teizer,460059,"Journal Article","<p><span>Conditional Seq2Seq model for the time-dependent </span><span>two-level system</span></p>",arXiv:2206.02889v1,June,2023,,,,,,,"Revise & Resubmit",,,,,Fall,2025,,"Bin Yang (Role:Author); Mengxi Wu (Role:Author); Winfried Teizer (Role:Author)",,,,Senior,,,,,,,
101009310,Winfried,Teizer,460058,"Journal Article","<p><span>Thermal spin injection from a ferromagnet into graphene</span><br><span>by transverse and longitudinal current</span></p>",arXiv:2206.02896,,2023,,,,,,,"Revise & Resubmit",,,,,Fall,2025,,"Bin Yang (Role:Author); Winfried Teizer (Role:Author)",,,,Senior,,,,,,,
101009331,Roger,Smith,488125,"Journal Article","Norming in discrete crossed products (28 pages)","Illinois J. Math",,2024,,68,703-730,,,,Completed/Published,,,,,Fall,2024,,"Roger R Smith; David Pitts; Vrej Zarikian","Basic or Discovery Scholarship",,,,,,,,,,
101009331,Roger,Smith,488127,"Journal Article","Bimodules and twisted inclusions of crossed products (provisional title)",,,,,,,,,,"In Progress",,,,,Fall,2023,"This is work in progress. I've included it because Interfolio seems to want this information.","Roger R Smith; Jan Cameron; Alan Wiggins",,,,,,,,,,,
101009331,Roger,Smith,488117,"Journal Article","<p>Quasinormalizers in crossed products of von Neumann algebras (59 pages)</p>","Advances in Mathematics",,2024,,443,"59 pages",,,,Completed/Published,,,,,Fall,2024,,"Roger R Smith; Jon Bannon; Jan Cameron; Ionut Chifan; Kunal Mukherjee; Alan Wiggins","Basic or Discovery Scholarship",,,,,,,,,,
101009337,Stephen,Safe,527554,"Journal Article","A Chalcone Synthase-Like Bacterial Protein Catalyzes Heterocyclic C-Ring Cleavage of Naringenin to Alter Bioactivity Against Nuclear Receptors in Colonic Epithelial Cells",,2025-03-12,2025,,,-,,,,Completed/Published,,,,,Spring,2025,,"Ebru E Gülsan (Role:Author); Farrhin Nowshad (Role:Author); Meredith D Leigh (Role:Author); Jimmy W Crott (Role:Author); Hyejin Park (Role:Author); Greg Martin (Role:Author); Stephen H Safe (Role:Author); Robert S Chapkin (Role:Author); Arul Jayaraman (Role:Author); Kyongbum Lee (Role:Author)",,,,,,,,,,,
